№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
3311,"Общество с ограниченной ответственностью ""НИЛАН""",7721143784/ 1027739185451,"105118, г.Москва, Соколиной горы 9-я ул., д.3","105118, г. Москва, Соколиной Горы 9-я ул., д. 3",Магазин,ДПРУ 8035,12.09.2008,12.09.2008,12.09.2013,Действует
3312,"Общество с ограниченной ответственностью ""МАРС""",7716236426/ 1037716028833,"129281, г.Москва, ул. Бабушкина Летчика, д.26","г.Москва, ул. Бабушкина Летчика, д.26",Кафе,ДПРУ 8042,14.09.2008,08.10.2008,14.09.2013,Действует
3313,"Общество с ограниченной ответственностью ""Арома Маркет""",7710161911/ 1027739146412,"121087, г.Москва, пр-д Береговой, д.5, стр.1","г.Москва, просп. Университетский, д.23, корп.1",Магазин,ДПРУ 8052,15.09.2008,15.09.2008,15.09.2013,Действует
3314,"Общество с ограниченной ответственностью фирма ""ПРАГМА""",7735067484/ 1037739697324,"124482, г. Москва, Зеленоград, корп. 317А, стр. 1, нежилое помещение 11, комн.1","124482, г. Москва, Зеленоград, корп. 317А, стр. 1",Бар,ДПРУ 8051,15.09.2008,18.09.2008,15.09.2013,Действует
3315,"Закрытое акционерное общество ""Боулинг Космик""",7713567148/ 1057748565610,"119017, г. Москва, Старомонетный пер., д.9, корп.1","г. Москва, пр. Вернадского, д.6",Бар,ДПРУ 6094,16.09.2008,18.09.2008,23.11.2012,Действует
3318,"Закрытое акционерное общество ""Боулинг Космик""",7713567148/ 1057748565610,"119017, г. Москва, Старомонетный пер., д.9, корп.1","г.Москва, ул. Днепропетровская, д.2",Кафе,ДПРУ 6647,16.09.2008,18.09.2008,13.02.2013,Действует
3319,"Общество с ограниченной ответственностью ""Аруст""",7713634965/ 1077761620320,"127474, г.Москва, ул. Дубнинская, д.39, кв.263","г.Москва, шоссе Челобитьевское, д.10, корп.3",Магазин,ДПРУ 8057,16.09.2008,18.09.2008,06.10.2014,Действует
3320,"Общество с ограниченной ответственностью ""Витязь""",7730513054/ 1047796709674,"121433, г. Москва, ул. Б. Филевская, д. 35","121433, г. Москва, ул. Б. Филевская, д. 35",Бар,ДПРУ 8065,16.09.2008,18.09.2008,16.09.2013,Действует
332,,,,,,,,,,
3321,"Общество с ограниченной ответственностью ""Олимп""",7727649055/ 1087746514976,"117418, г.Москва, просп. Нахимовский, д.33/2","г.Москва, просп. Нахимовский, д.33/2",Магазин,ДПРУ 8055,16.09.2008,22.09.2008,16.09.2013,Действует
3322,"Общество с ограниченной ответственностью ""РАДУГА""",7720551861/ 1067746571100,"111673, г. Москва, ул. Новокосинская, д. 12, корп. 2","г. Москва, ул. Новокосинская, д. 12, корп. 2",Магазин,ДПРУ 8062,16.09.2008,19.09.2008,16.09.2013,Действует
3323,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г.Москва, пр-д Ясный, д.26, корп.3",Магазин,ДПРУ 8064,17.09.2008,18.09.2008,17.09.2013,Действует
3324,"Общество с ограниченной ответственностью ""АСИФ""",7715017630/ 1037700038991,"127549, г. Москва, ул. Лескова, д. 14","г.Москва, ул. Белозерская, д.12А",Магазин,ДПРУ 8074,17.09.2008,30.09.2008,17.09.2013,Действует
3325,"Общество с ограниченной ответственностью ""Грант""",7715373405/ 1037715022894,"127172, г. Москва, ул. Абрамцевская, д. 9, корп. 1","г.Москва, ул. Декабристов, вл.17Г",Кафе,ДПРУ 8068,17.09.2008,18.09.2008,17.09.2013,Действует
3326,"Общество с ограниченной ответственностью ""Сконти-13""",7728252486/ 1027739235050,"117630, г.Москва, ул. Челомея Академика, д.8, корп.3","г.Москва, бульв. Новинский, д.8",Ресторан,ДПРУ 8066,17.09.2008,19.09.2008,17.09.2013,Действует
3327,"Общество с ограниченной ответственностью ""Флагман""",7716549919/ 1067746638618,"129343, г. Москва, ул. Амундсена, д.6, корп.2, кв.100","г.Москва, ул. Амундсена, д.21Г",Магазин №1,ДПРУ 8063,17.09.2008,22.09.2008,17.09.2013,Действует
3328,"Общество с ограниченной ответственностью ""Флагман""",7716549919/ 1067746638618,"129343, г. Москва, ул. Амундсена, д.6, корп.2, кв.100","г.Москва, ул. Амундсена, д.21Г",Магазин №2,ДПРУ 8063,17.09.2008,22.09.2008,17.09.2013,Действует
3329,"Общество с ограниченной ответственностью ""ВЭЛА""",7721566405/ 5067746792559,"109145, г.Москва, бульв. Хвалынский, д.2","г.Москва, бульв. Хвалынский, д.2",Магазин,ДПРУ 8077,18.09.2008,22.09.2008,18.09.2013,Действует
3330,"Общество с ограниченной ответственностью ""СОНА""",7704135751/ 1037739422038,"119048, г. Москва, ул.Усачева, д.36","г. Москва, ул.Россолимо, д.6/25",Магазин,ДПРУ 8069,18.09.2008,18.09.2008,18.09.2013,Действует
333,,,,,,,,,,
3331,"Общество с ограниченной ответственностью ""Удача-МГ""",7727165840/ 1027739872324,"117461, г.Москва, ул. Керченская, д.13","г. Москва, ул. Керченская, д.13, стр.2",Магазин,ДПРУ 8075,18.09.2008,02.10.2008,18.09.2013,Действует
3332,"Общество с ограниченной ответственностью ""ЭЛОР-М""",7714128344/ 1027739284044,"127521, г.Москва, шоссе Старомарьинское, д.6, корп.1","127521, г. Москва, Старомарьинское шоссе, д.6, корп. 1",Магазин,ДПРУ 8073,18.09.2008,19.09.2008,18.09.2013,Действует
3334,"Общество с ограниченной ответственностью ""АСТ-интернэшнл инваэронмэнт""",7712037444/ 1027700413950,"117216, г. Москва, ул. Старокачаловская, д. 3, корп. 3","г.Москва, пр-д Каширский, д.23",Магазин,ДПРУ 8094,19.09.2008,22.09.2008,19.09.2013,Действует
3335,"Общество с ограниченной ответственностью ""ВАРТА-М""",7719262992/,"105425, Москва, Щелковское шоссе, д.30","г.Москва, шоссе Щелковское, д.30",Кафе,ДПРУ 8090,19.09.2008,25.09.2008,19.09.2013,Действует
3336,"Общество с ограниченной ответственностью ""ВЕЛА гранд""",7716182001/ 1037739272537,"129344, г. Москва, ул. Искры, д. 9, корп. 2, стр. 1","г. Москва, ул. Бирюлевская, д. 47 А",Кафе,ДПРУ 8087,19.09.2008,22.09.2008,19.09.2013,Действует
3337,"Общество с ограниченной ответственностью ""Галерея-АЛЕКС""",7704520601/ 1047796357179,"119002, г. Москва, ул. Арбат, д.44, стр.1","г. Москва, Земляной вал, д.33",Кофейня,ДПРУ 8092,19.09.2008,16.10.2008,19.09.2013,Действует
3338,"Общество с ограниченной ответственностью ""Диона""",7731513184/ 1047796693427,"121500, г. Москва, Обводное ш., д. 5","г.Москва, шоссе Обводное, д.5",Магазин,ДПРУ 8096,19.09.2008,19.09.2008,19.09.2013,Действует
3340,"Общество с ограниченной ответственностью ""Комильфо""",7719620567/ 1077746319969,"105318, г.Москва, шоссе Измайловское, д.33","г.Москва, шоссе Измайловское, д.33","Магазин ""Продукты""",ДПРУ 8091,19.09.2008,22.09.2008,19.09.2013,Действует
334,,,,,,,,,,
3341,"Общество с ограниченной ответственностью ""Кофе Хаус. Эспрессо и Капучино Бар""",7704207300/ 1027739135236,"125599, г.Москва, ул. Ижорская, д.8, стр.1","г.Москва, пл. Сокольническая, д.9",Кафе,ДПРУ 8102,19.09.2008,23.09.2008,19.09.2013,Действует
