тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о выдаче,ПО,Чернышевское районное потребительское общество,"Забайкальский край, Чернышевский район, п.г.т. Чернышевск, ул. Карла Маркса, 28",1027500904342,7525000042,752501001,"магазин ""Кооператор""",Чернышевский район,пгт. Чернышевск,"ул. Журавлева, 64-а",0001,12-Jan-12,15-Jan-12,15-Jan-14,75 ме,002809,,,,
о выдаче,ООО,Каскад,"Забайкальский край, Сретенский район, пгт. Кокуй, ул. Клубная, 26",1067513008530,7519003750,751901001,"магазин ""Чайка""",Сретенский район,пгт. Кокуй,"ул. Железнодорожная, 73",0002,17-Jan-12,18-Jan-12,18-Jan-13,75МЕ,002810,,,,
о выдаче,ООО,Арбат,"Забайкальский район, с. Билитуй, переулок Степной, д. 5",1097505000152,7505005814,750501001,отдел в магазине,Забайкальский район,с. Билитуй,"пер. Степной, 5",0004,20-Jan-12,20-Jan-12,20-Jan-13,75 ме,002813,,,,
о выдаче,ООО,Ромашка,"Забайкальский край, Карымский район, пгт. Карымское, ул. Погодаева, 84",1067524006923,7508005273,750801001,отдел в магазине,Карымский район,пгт. Карымское,"ул. Погодаева, 84",0008,25-Jan-12,25-Jan-12,25-Jan-13,75МЕ,002819,,,,
о выдаче,ЗАО,Дардан,"Забайкальский край, г. Балей, ул. Ведерникова, 14",1027500988107,7503000183,750301001,магазин № 3,г. Балей,г. Балей,"ул. Ведерникова, 14",0005,25-Jan-12,25-Jan-12,25-Jan-13,75 ме,002821,,,,
о переоформлении,ООО,Гепард,"Забайкальский край, г. Чита, ул. Угданская, д. 3, офис 8",1117536009051,7536121225,753601001,отдел в магазине,г. Чита,г. Чита,"п. Песчанка, ДОС 762, стр.1",0007,25-Jan-12,25-Jan-12,25-Jan-13,75 ме,003352,,,,
о переоформлении,ООО,888,"Забайкальский край, Хилокский район, с. Линево-Озеро, ул. Кочнева, 10",1067538005930,7538000917,753801001,магазин,Хилокский район,с. Линево-Озеро,"ул. Кочнева, 10",0010,25-Jan-12,26-Jan-12,26-Jan-13,75МЕ,002844,,,,
о выдаче,ООО,Надежда,"Забайкальский край, Оловяннинский район, п. Оловянная,  ул. Гражданская, 23",1067515005755,7515006775,751501001,магазин,Оловяннинский район,п. Оловянная,"ул. Гражданская, 23",0010,25-Jan-12,25-Jan-12,25-Jan-15,75МЕ,002820,,,,
о выдаче,ООО,Смак,"Забайкальский край, г. Шилка, ул. Балябина, 71 а-2",1067527003796,7527007526,752701001,магазин,Шилкинский район,г. Шилка,"ул. Балябина, 146-1",0006,25-Jan-12,26-Jan-12,26-Jan-15,75МЕ,002815,,,,
о выдаче,ООО,Анастасия,"Забайкальский край, Оловяннинский район, ст. Степь, ул. Комарова, б/н",1067515005766,7515006782,751501001,отдел в магазине,Оловяннинский район,пгт. Ясногорск,"ул. Энергетиков, д. 5",0013,27-Jan-12,27-Jan-12,27-Jan-13,75 ме,002826,,,,
о выдаче,ООО,Омега,"Забайкальский край, г. Чита, ул. Журавлева, 12",1067536041693,7536069631,753601001,магазин,г. Чита,г. Чита,"Черновский район, ул. Звездная, 5 пом.1",0011,27-Jan-12,27-Jan-12,27-Jan-13,75 ме,002823,,,,
о выдаче,ООО,Агат,"Забайкальский край, г. Петровск-Забайкальский, ул. Горбачевского, 23",1067538001090,7531004133,753101001,отдел в магазине,г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Горбачевского, 23",0012,27-Jan-12,27-Jan-12,27-Jan-14,75 ме,002824,,,,
о выдаче,ООО,Верба,"Забайкальский край, Шилкинский район, с. Размахнино, ул. Ингодинская, 59 а",1067527003807,7527007540,752701001,отдел в магазине,Шилкинский район,с. Размахнино,"ул. Школьная, 5",0016,03-Feb-12,03-Feb-12,03-Feb-13,75 ме,002830,,,,
о выдаче,ООО,Ошон,"Забайкальский край, Агинский район, с. Гунэй, ул. Школьная, 13",1117580001098,8001017273,800101001,"магазин ""Ошон""",Агинский район,с. Гунэй,"ул. Школьная, 13",0015,03-Feb-12,03-Feb-12,03-Feb-13,75 ме,002828,,,,
о выдаче,ООО,Прайд,"Забайкальский край, г. Чита, 5 мкр., д. 49, кв. 19",1117536012131,7536122395,753601001,магазин,г. Чита,г. Чита,"4 мкр., д. 20",0019,06-Feb-12,06-Feb-12,06-Feb-13,75 ме,002833,,,,
о выдаче,ООО,Салют,"Забайкальский район, пгт. Забайкальск, ул. Красноармейская, 21",1067505006161,7505004602,750501001,магазин,Забайкальский район,пгт. Забайкальск,"ул. Красноармейская, 21-1",0023,07-Feb-12,07-Feb-12,07-Feb-13,75 ме,002837,,,,
о выдаче,ООО,Фаворит,"Забайкальский край, пгт. Горный, ул. Таежная, 7",1067524006912,7533000840,753301001,отдел в магазине,Улетовский район,с. Улеты,"ул. Кооперативная, 15 в",0022,08-Feb-12,08-Feb-12,08-Feb-13,75 ме,002836,,,,
о выдаче,ООО,Альянс,"Забайкальский район, Агинский район, пгт. Агинское, ул. Балданжабона, д. 68",1107580000637,8001016801,800101001,магазин,Агинский район,пгт. Агинское,"ул. Балданжабона, д. 68",0024,10-Feb-12,10-Feb-12,10-Feb-14,75 ме,002842,,,,
о выдаче,ООО,Рубин,"Забайкальский край, Агинский район, п. Орловский, ул. 30 лет Победы, 17",1068080021888,8001013286,800101001,магазин,Агинский район,п. Орловский,"ул. 30 лет Победы, 17",0025,14-Feb-12,14-Feb-12,14-Feb-13,75 ме,002847,,,,
о выдаче,ООО,Ажур,"Забайкальский край, Читинский район, с. Домна, ул. Мебельная, 17",1067524006560,7524013480,752401001,отдел в магазине,Читинский район,с. Домна,"ул. Мебельная, 17",0027,17-Feb-12,17-Feb-12,17-Feb-17,75 ме,002849,,,,
о выдаче,ООО,Два капитана,"Забайкальский край, г. Чита, ул. Кайдаловская, 4",1067536049570,7536074141,753601001,магазин,г. Чита,г. Чита,"Центральный район, ул. Кайдаловская, 4, пом. 50",0026,17-Feb-12,17-Feb-12,17-Feb-17,75МЕ,002851,,,,
о выдаче,ООО,Елена,"Забайкальский край, Карымский район, п. Дарасун, ул. Дорожная, 3-а",1067524007605,7508005379,750801001,магазин,Карымский район,пгт. Карымское,"ул. Братьев Васильевых, 16",0645,20-Feb-12,20-Feb-12,20-Feb-13,75МЕ,002854,,,,
о выдаче,ООО,Альта,"Забайкальский край, г. Петровск-Забайкальский, ул. Дамская, 5",1067538005677,7531004581,753101001,отдел в магазине,г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Лебедевская, 15",0028,21-Feb-12,22-Feb-12,22-Feb-13,75МЕ,002852,,,,
о выдаче,ООО,Надежда,"Забайкальский край, п.г.т.Карымское, ул. Солнечная, 10-а",1107524000726,7508006421,750801001,магазин,Карымский район,п.г.т. Карымское,"ул. Погодаева, 124",0030,22-Feb-12,23-Feb-12,23-Feb-13,75 ме,002853,,,,
о выдаче,ООО,Вилли,"Забайкальский край, Агинский район, пгт. Новоорловск, 3, пом. 3",1117580000691,8001017033,800101001,отдел в магазине,Агинский район,пгт. Новоорловск,"д. 3, помещение 3",0034,24-Feb-12,24-Feb-12,24-Feb-13,75 ме,002857,,,,
о выдаче,ООО,ИРЕН,"Забайкальский край, г. Чита, мкр. Северный, д.32, пом.1",1067536023730,7536069046,753601001,"отдел в магазине ""Георгиевский""",г. Чита,г. Чита,"5 мкр., дом 22, пом. 1",0032,24-Feb-12,24-Feb-12,24-Feb-17,75 ме,002856,,,,
о выдаче,ООО,Фрегат,"Забайкальский край, Кыринский район, с. Кыра, ул. Ленина, 18",1067515004985,7510002907,751001001,отдел в магазине,Кыринский район,с. Кыра,"ул. Пионерская, 76",0036,29-Feb-12,29-Feb-12,28-Feb-13,75МЕ,002864,,,,
о выдаче,ООО,Алексис,"Забайкальский край, Нерчинский район, с. Илим, ул. Советская, 23",1117513001100,7513006716,751301001,отдел в магазине,Нерчинский район,с. Илим,"ул. Верхняя, 13",0035,29-Feb-12,29-Feb-12,29-Aug-14,75 ме,002862,,,,
