№ п/п,"Полное и сокращённое наименование, организационно-правовая форма юридического лица",ОГРН,ИНН,Местонахождение юридического лица,Места нахождения обособленных подразделений и условия осуществления деятельности,Срок действия лицензии,Регистрационный номер и дата выдачи лицензии,Сведения о продлении срока действия лицензии,Основание и дата переоформления лицензии,Основание и дата приостановления и возобновления действия лицензии,Основание и дата прекращения действия лицензии,Основание и дата аннулирования лицензии
812,"Общество с ограниченной ответственностью ""Фламинго""",1.0676E+12,7604086726,"Россия, город Ярославль, улица Б. Техническая, дом 14, квартира 283","1. г.Ярославль, пос.Прибрежный, д.30",с 29.06.2011 г. по 29.06.2016 г.,"76202711/Л0291,",,Предыдущее переоформление 24.02.2012 г.,,,
,"(ООО ""Фламинго"")",,,,магазин,,"29.06.2011 г., ",,(4) код 3,,,
,,,,,"2. г.Ярославль, ул. Малая Техническая, д.1",,,,,,,
,,,,,магазин,,,,,,,
813,"Общество с ограниченной ответственностью ""Форвард""",1.0276E+12,7606034071,"Россия, г.Ярославль, ул.Автозаводская, д.69","1. г.Ярославль, ул. Автозаводская, д.69",с 17.03.2011 г. по 17.03.2014 г.,"76202711/Л0083,",,Предыдущее переоформление 15.06.2012 г.,,,
,"(ООО ""Форвард"")",,,,магазин,,"17.03.2011 г., ",,(4) -код 4,,,
,,,,,"2. г.Ярославль, ул.Чкалова, д.58/19",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. г.Ярославль, ул.2-я Путевая, д.11а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, г.Тутаев ул.Дементьева д.14а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. г.Ярославль, ул. Большие Полянки, д.15, корп.2",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"6. г.Ярославль, ул. Елены Колесовой, д. 50",,,,,,,
,,,,,магазин,,,,,,,
814,"Общество с ограниченной ответственностью ""Форте""",1.06761E+12,7606058379,"г.Ярославль, ул. Володарского, д.50а/22","1. г.Ярославль, ул. Володарского, д.50а/22",с 28.07.2011 г. по 28.07.2016 г.,"76202711/Л0455,",,,,,
,"(ООО ""Форте"")",,,,магазин,,"21.07.2011 г., ",,,,,
,,,,,"2. г Ярославль, ул. Журавлева, д. 16",,,,,,,
,,,,,магазин,,,,,,,
815,"Общество с ограниченной ответственностью Торговая компания ""Фортуна""",1.0976E+12,7603042885,"Ярославская область, г.Ярославль, Тверицкая набережная, д.9","1. г.Ярославль, Тверицкая набережная,д.9",с 07.10.2009 г. по 07.10.2012 г.,"76202709/Л0179,",,Предыдущее переоформление 08.06.2012 г.,,,
,"(ООО ТК ""Фортуна"")",,,,магазин,,"07.10.2009 г., ",,"(4)-код 26, 27",,,
,,,,,"2. г.Ярославль, ул. Чехова, у дома 5",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"3. Ярославская область, Рыбинский район, с. Никольское, ул. Центральная, д. 42",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"4. Ярославская область, Ярославский район, в районе д. Ершово, СНТ ""Дружба""",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"5. Ярославская область, Тутаевский район, с. Савинское, ул. Центральная, д. 9",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"6. г.Ярославль, ул. Звёздная, д. 17",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"7. Ярославская область, Некрасовский район, Рп Бурмакино",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"8. Ярославская область, Некрасовский район, с. Бурмакино, ул. Заречная, д. 35",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"9. Ярославская область, Некрасовский район, Рп Бурмакино, ул. Ленина, д. 15а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"10. Ярославская область, Ростовский район, Рп Ишня, ул. Школьная, д. 8а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"11. Ярославская область, Ростовский район, с. Угодичи, Базарная площадь, д. 11",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"12. Ярославская область, Борисоглебский район, с. Вощажниково, ул. Советская, д. 58",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"13. Ярославская область, Борисоглебский район, пос. Борисоглебский, ул. Пионерская, д. 15",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"14. Ярославская область, Некрасовский район, Рп Бурмакино, ул. Советская, д. 8а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"15. Ярославская область, Некрасовский район, Рп Некрасовское, ул. Матросова, д. 1",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"16. Ярославская область, Ростовский район, Рп Ишня, ул. Школьная, д. 6",,,,,,,
,,,,,бар,,,,,,,
,,,,,"17. Ярославская область, Некрасовский район, Рп Некрасовское, ул. Строителей, д. 6б",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"18. Ярославская область, г.Ростов, ул. Спартаковская, д. 85б",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"19. Ярославская область, Борисоглебский район, р.п. Борисоглебский, ул. Вощажниковская, д. 28а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"20. г.Ярославль, ул. Блюхера, д. 45",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"21. г.Ярославль, ул. Щапова, д. 1",,,,,,,
,,,,,бар,,,,,,,
,,,,,"22. Ярославская область, Ростовский район, Рп Семибратово, ул. Строителей, д. 17",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"23. Ярославская область, Ростовский район, Рп Поречье-Рыбное, ул. Центральная, д. 3",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"24. Ярославская область, г.Ростов, ул. Спартаковская, д. 162а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"25. Ярославская область, Некрасовский р-н, с.Бурмакино, ул.Заречная, д.1",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"26. Ярославская область, Борисоглебский район, пос.Борисоглебский, ул.Октябрьская, д.37 А.",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"27. Ярославская область, Борисоглебский район, пос.Борисоглебский, ул.Мира, д.38",,,,,,,
,,,,,магазин (отдел),,,,,,,
816,"Общество с ограниченной ответственностью ""Фортуна""",1.06761E+12,7616007655,"Россия, Ярославская область, г.Гаврилов-Ям, ул. Кирова. д.5а","1. Ярославская область, г.Гаврилов-Ям, ул. Спортивная, д.13",с 10.10.2011 г. по 10.10.2012 г.,"76202711/Л0602,",,,,,
,"(ООО ""Фортуна"")",,,,закусочная,,"10.10.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Гаврилов-Ям, ул. Семашко, д.13",,,,,,,
,,,,,магазин (отдел),,,,,,,
817,"Общество с ограниченной ответственностью ""Фудкорт""",1.0676E+12,7602055426,"Россия, г. Ярославль, Ленинградский проспект, д. 123","1. г. Ярославль, Ленинрадский проспект, д. 123",с 30.11.2007 г. по 30.11.2012 г.,"76202707/Л0135,",,,,,
,"(ООО ""Фудкорт"")",,,,ресторан,,"30.11.2007 г., ",,,,,
818,"Общество с ограниченной ответственностью ""ХАНОЙ""",1.0676E+12,7604099490,"Российская Федерация, Ярославская область, г.Ярославль, ул.Полушкина Роща, д.9б.","1. г.Ярославль, ул.Полушкина роща, д.9б",с 07.09.2012 г. по 07.09.2017 г.,"76202712/Л0424,",,,,,
,"(ООО ""ХАНОЙ"")",,,,кафе,,"07.09.2012 г., ",,,,,
819,"Общество с ограниченной ответственностью ""Хитон""",1.0276E+12,7615002037,"Россия, Ярославская область, Брейтовский район, с.Брейтово, ул.Гагарина, д.26","1. Ярославская область, Большесельский район, с.Большое Село, ул. Мясникова, д.38",с 21.05.2012 г. по 21.05.2017 г.,"76202712/Л0223,",,Предыдущее переоформление 29.06.2012 г.,,,
,"(ООО ""Хитон"")",,,,магазин,,"21.05.2012 г., ",,(4) - код 1,,,
,,,,,"2. Ярославская область, г.Углич, Ярославское шоссе, д.36/2",,,,,,,
,,,,,магазин,,,,,,,
820,"Общество с ограниченной ответственностью ""Хлебсоль""",1.1076E+12,7604191512,"Российская Федерация, г. Ярославль, Суздальское шоссе, д. 23","1. г.Ярославль, Суздальское шоссе, д. 23",с 23.12.2011 г. по 23.12.2013 г.,"76202711/Л0759,",,Предыдущее переоформление 13.06.2012 г.,,,
