№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
57,"ООО ""Шевченко""",6729034778,1066731103548,"214034, Смоленская область, г. Смоленск, ул. 2-й Минский тупик, д. 11","216117, Смоленская область, Краснинский район, д. Гусино, ул. Молодежная, д. 4 (магазин), без ограничений",№ 2037                 Б 004774,20 июля 2011,до 20 июля 2013,,,,,,,,
58,"ООО  ""Бумер""",6730064600,1066731107739,"214013, Смоленская область, г. Смоленск, ул. Черняховского, 1, 27","214533, Смоленская область, Смоленский район, с. Ольша, д. 1, 397 км автодороги Москва-Минск (кафе), без ограничений",№ 1268               Г 254902               ( Г 244456),14 августа 2006                       ,по 14 августа 2011                             ,до 15 августа 2012,06 февраля 2012             исключение объекта,,,,,,
,,,,,"216030, Смоленская область, Смоленский район, с. Печерск, ул. Минская , д. 23 (кафе), без ограничений",,,,,06 февраля 2012             включение объекта,,,,,,
,,,,,"214532, Смоленская область, Смоленский район, 386 км автодороги М-1 ""Москва-Минск"" (кафе), без ограничений",,,,,06 февраля 2012             включение объекта,,,,,,
59,"ООО ""Мария""",6732020380,1116732006522,"214036, Смоленская область, г. Смоленск, ул. Рыленкова, д. 46, кв. 163","214018, Смоленская область,  г. Смоленск, пр-т. Гагарина, д. 11 (магазин), без ограничений",№ 2034               Б 004800,19 июля 2011,до 19 июля 2012,,,,,,,,
60,"ООО ""СЕМЬЯ""",6729035690,1066731107607,"214032, Смоленская область, г. Смоленск, ул. Городнянского, 3, 24","214032, Смоленская область, Смоленский район, пос. анастасино (магазин), без ограничений",№ 1199                Б 005974,27 июля 2006,по 27 июля 2011,до 28 июля 2012,,,,,,,
61,"ООО ""Гута""",6729035115,1066731105297,"214006, Смоленская область, г. Смоленск, ул. Юрьева, д. 3, кв. 308","214000, Смоленская область, г. Смоленск, ул. Б. Советская, д. 39/11 (магазин), без ограничений",№ 1154                 Б 004771,20 июля 2011,по 19 июля 2011, до 20 июля 2014,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. 2-й Краснофлотский переулок, д. 42 (торговый павильон), без ограничений",,,,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. П. Алексеева, д. 3 (магазин), без ограничений",,,,,,,,,,,
62,"ООО ""Эдем""",6729034383,1066731101216,"214022, Смоленская область, г. Смоленск, ул. Нижняя Дубровенка, д. 19-а","Смоленская область, г. Смоленск, Красный Бор (ресторан ""Эдем"")",№ 872                  Б 005669,26 июня 2006,по 26 июня 2011,,,,,,,,
,,,,,"214014, Смоленская область, г. Смоленск, ул. Тенишевой, д. 11 (кафе)",,,,,,,,,,,
63,"ООО ""Галина""",6731055599,1066731103823,"214000, Смоленская область, г. Смоленск, ул. 25 Сентября, д. 64","214031, Смоленская область, г. Смоленск, ул. 25 Сентября, д. 64 (бар), без ограничений",№ 893                Б 005690,29 июня 2006,по 29 июня 2011,до 30 июня 2012,,,,,,,
64,"ООО ""Кофе-МАН""",6730063639,1066731104021,"214000, Смоленская область, г. Смоленск, ул. Октябрьской революции, д. 7","214000, Смоленская область, г. Смоленск, ул. Октябрьской революции, д. 7 (кафе)",№ 857                 Б 005635,22 июня 2006,по 22 июня 2011,до 23 июня 2014,,,,,,,
65,"ООО ""НИКА-В""",6731052862,1056758467700,"214014, Смоленская область, г. Смоленск, ул. Твардовского, д. 6-а, кв. 19","214020, Смоленская область, г. Смоленск, ул. Рыленкова, д. 43 (закусочная), без ограничений",№ 936                Б 005682,29 июня 2006,по 29 июня 2011,до 30 июня 2012,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Гарабурды, д. 19, корп. 1 (закусочная), без ограничений",,,,,,,,,,,
66,"ООО ""ЕЛОЧКА""",6731055077,1066731101381,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 65","214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 65 (кафе), без ограничений",№ 806                      Б 005570,01 июля 2006,по 01 июля 2011,до 02 июля 2014,,,,,,,
67,"ООО ""Пушкинский""",6731055172,1066731101634,"214036, Смоленская область, г. Смоленск, ул. Петра Алексеева, д. 8, кв. 159","214000, Смоленская область,  г. Смоленск, ул. Ленина, д. 7/2 (магазин), без ограничений",№ 874                 Б 005648,22 июня 2006,по 22 июня 2011,до 23 июня 2016,,,,,,,
68,"ООО ""Ойл-Сервис""",6731057483,1066731110984,"214036, Смоленская область, г. Смоленск, ул. Попова, д. 60, кв. 79","214000, Смоленская область, г. Смоленск, ул. Шевченко, д. 103 (магазин), без ограничений",№ 1370               Б 004799            (Г 301991),18 июля 2011,по 27 ноября 2011,до 28 ноября 2016,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Шевченко, д. 103 (закусочная), без ограничений",,,,,,,,,,,
