На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"ООО ""Крона""",2530005424,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Северная д.21","Приморский край, Ханкайский р-н, с Майское, ул Стрельникова д.31",Магазин,ПК0059503/2916,08.11.2011,06.07.2016
"ООО ""Крона""",2530005424,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Северная д.21","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Октябрьская д.3",закусочная,ПК0059503/2916,08.11.2011,06.07.2016
"ООО ""Максим""",2530001420,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Лазо д.38-1","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Димитрова 2-я д.59","Магазин ""Максим""",ПК0059789/3201,31.01.2012,29.11.2012
"ООО ""Максим""",2530001420,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Лазо д.38-1","Приморский край, Ханкайский р-н, с Турий Рог, пер Набережная д.7","Магазин ""Центральный""",ПК0059789/3201,31.01.2012,29.11.2012
"ООО ""Олимп""",2530007189,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул 50 лет ВЛКСМ д.5","Приморский край, Ханкайский р-н, с Владимиро-Петровка, ул Молодежная д.5",Магазин,ПК0058818/2231,20.05.2011,21.05.2016
"ООО ""Олимп""",2530007189,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул 50 лет ВЛКСМ д.5","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Калинина д.2а","Магазин ""Елена""",ПК0058818/2231,20.05.2011,21.05.2016
"ООО ""Олимп""",2530007189,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул 50 лет ВЛКСМ д.5","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Трактовая д.52в","Магазин ""Елена""",ПК0058818/2231,20.05.2011,21.05.2016
"ООО ""Олимп""",2530007189,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул 50 лет ВЛКСМ д.5","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Кирова д.1","Магазин ""Елена""",ПК0058818/2231,20.05.2011,21.05.2016
"ООО ""Олимп""",2530007189,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул 50 лет ВЛКСМ д.5","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул 50 лет ВЛКСМ д.5","Магазин ""Олимп""",ПК0058818/2231,20.05.2011,21.05.2016
"ООО ""Помощник""",2530007206,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Беговая д.1а","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Беговая д.1а",Магазин,ПК0060737/4150,01.10.2012,28.04.2013
"ООО ""Помощник""",2530007206,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Беговая д.1а","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Беговая д.1а",бар,ПК0060737/4150,01.10.2012,28.04.2013
"ООО ""Радуга""",2530007365,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Кирова д.23","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Кирова д.23",Магазин,ПК0059703/3116,23.01.2012,05.02.2017
"ООО ""Радуга""",2530007365,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Кирова д.23","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Трактовая д.72",Магазин,ПК0059703/3116,23.01.2012,05.02.2017
"ООО ""Таежное"" Приморского крайпотребсоюза",2511058678,"Приморский край, г Уссурийск, ул Некрасова д.258 Б","Приморский край, Ханкайский р-н, с Троицкое, ул Трактовая д.3",Магазин,ПК0060104/3517,10.05.2012,11.05.2013
"ООО ""Феникс""",2530007238,"Приморский край, Ханкайский р-н, с Астраханка, ул Березюка д.37а","Приморский край, Ханкайский р-н, с Астраханка, ул Челюскина д.34а",Магазин,ПК0059508/2921,11.11.2011,17.11.2016
"ООО ""Феникс""",2530007238,"Приморский край, Ханкайский р-н, с Астраханка, ул Березюка д.37а","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Трактовая д.8а",Магазин,ПК0059508/2921,11.11.2011,17.11.2016
"ООО ""Феникс""",2530007238,"Приморский край, Ханкайский р-н, с Астраханка, ул Березюка д.37а","Приморский край, Ханкайский р-н, с Астраханка, ул Березюка д.37а",Магазин,ПК0059508/2921,11.11.2011,17.11.2016
"ООО ""Феникс""",2530007238,"Приморский край, Ханкайский р-н, с Астраханка, ул Березюка д.37а","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Трактовая д.42",Магазин,ПК0059508/2921,11.11.2011,17.11.2016
"ООО ""Филм""",2530006386,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Октябрьская д.9-7","Приморский край, Ханкайский р-н, с Октябрьское, ул Советская д.24 в",Магазин,ПК0059414/2827,11.10.2011,11.04.2016
